RSTB-RXN RSTA-RXN
AKBLIG-RXN LTAA-RXN
AKBLIG-RXN RXN0-6982
AKBLIG-RXN GCVMULTI-RXN
AKBLIG-RXN RXN0-6983
AKBLIG-RXN ACECOATRANS-RXN
AKBLIG-RXN RXN0-6984
AKBLIG-RXN ACETOACETYL-COA-TRANSFER-RXN
AKBLIG-RXN RXN0-6987
AKBLIG-RXN MALTACETYLTRAN-RXN
AKBLIG-RXN RXN0-6988
AKBLIG-RXN TDPFUCACTRANS-RXN
AKBLIG-RXN RXN0-5234
AKBLIG-RXN RXN0-5231
AKBLIG-RXN 2.3.1.180-RXN
AKBLIG-RXN GLYOHMETRANS-RXN
AKBLIG-RXN PHENYLSERINE-ALDOLASE-RXN
AKBLIG-RXN RXN0-6563
AKBLIG-RXN CITSYN-RXN
AKBLIG-RXN GLUTATHIONE-SYN-RXN
AKBLIG-RXN 2.3.1.157-RXN
AKBLIG-RXN MALSYN-RXN
AKBLIG-RXN RXN0-6948
AKBLIG-RXN THREOSPON-RXN
AKBLIG-RXN ACETYL-COA-ACETYLTRANSFER-RXN
AKBLIG-RXN TRANS-RXN-62B
AKBLIG-RXN ACP-S-ACETYLTRANSFER-RXN
AKBLIG-RXN GCVP-RXN
AKBLIG-RXN RXN0-1133
AKBLIG-RXN ACETALD-DEHYDROG-RXN
AKBLIG-RXN GLYCINE--TRNA-LIGASE-RXN
AKBLIG-RXN DIHYDLIPACETRANS-RXN
AKBLIG-RXN RXN0-6974
AKBLIG-RXN RXN0-5418
AKBLIG-RXN SPERMACTRAN-RXN
AKBLIG-RXN 2.3.1.118-RXN
AKBLIG-RXN SERINE-O-ACETTRAN-RXN
AKBLIG-RXN N-ACETYLTRANSFER-RXN
AKBLIG-RXN 2-ISOPROPYLMALATESYN-RXN
AKBLIG-RXN RXN0-1641
AKBLIG-RXN RXN0-6977
AKBLIG-RXN RXN0-6470
AKBLIG-RXN RXN-6622
AKBLIG-RXN PHOSACETYLTRANS-RXN
AKBLIG-RXN KETOACYLCOATHIOL-RXN
AKBLIG-RXN RXN0-5055
AKBLIG-RXN ACETYL-COA-CARBOXYLTRANSFER-RXN
AKBLIG-RXN GLYRIBONUCSYN-RXN
AKBLIG-RXN DIAMACTRANS-RXN
AKBLIG-RXN 2.3.1.128-RXN
AKBLIG-RXN GALACTOACETYLTRAN-RXN
DEOXYADENPHOSPHOR-RXN TRANS-RXN0-447
DEOXYADENPHOSPHOR-RXN ADDALT-RXN
DEOXYADENPHOSPHOR-RXN TRANS-RXN-108C
DEOXYADENPHOSPHOR-RXN ADENINE-DEAMINASE-RXN
DEOXYADENPHOSPHOR-RXN ADENPHOSPHOR-RXN
DEOXYADENPHOSPHOR-RXN DEOXYGUANPHOSPHOR-RXN
DEOXYADENPHOSPHOR-RXN URA-PHOSPH-RXN
DEOXYADENPHOSPHOR-RXN DEOXYINOPHOSPHOR-RXN
DEOXYADENPHOSPHOR-RXN THYM-PHOSPH-RXN
R148-RXN RXN0-361
R148-RXN RIBOKIN-RXN
R148-RXN RXN0-5305
R148-RXN INOSINE-NUCLEOSIDASE-RXN
ACETOLACTREDUCTOISOM-RXN DIHYDROXYISOVALDEHYDRAT-RXN
ACETOLACTREDUCTOISOM-RXN RXN-6081
ACETOLACTREDUCTOISOM-RXN RXN0-5392
RXN0-2701 TRANS-RXN0-228
RXN0-2701 1.1.1.264-RXN
RXN0-2701 YIAE1-RXN
RXN0-2701 GLUCONATE-5-DEHYDROGENASE-RXN
GUANOSINE-DIPHOSPHATASE-RXN RXN0-5108
GUANOSINE-DIPHOSPHATASE-RXN GMP-REDUCT-RXN
GUANOSINE-DIPHOSPHATASE-RXN COBALAMINSYN-RXN
GUANOSINE-DIPHOSPHATASE-RXN RXN-7609
GUANOSINE-DIPHOSPHATASE-RXN GUANYL-KIN-RXN
GUANOSINE-DIPHOSPHATASE-RXN GUANPRIBOSYLTRAN-RXN
RXN-11480 RXN-11481
2.4.1.56-RXN UDPKIN-RXN
2.4.1.56-RXN NACGLCTRANS-RXN
2.4.1.56-RXN UDPGLCNACEPIM-RXN
2.4.1.56-RXN UDPMANACATRANS-RXN
2.4.1.56-RXN 3.6.3.39-RXN
2.4.1.56-RXN RXN0-5413
2.4.1.56-RXN RXN0-5210
2.4.1.56-RXN 2.7.4.22-RXN
2.4.1.56-RXN UDPREDUCT-RXN
2.4.1.56-RXN RXN0-5128
2.4.1.56-RXN GLCNACPTRANS-RXN
2.4.1.56-RXN RXN0-5129
2.4.1.56-RXN UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
2.4.1.56-RXN UDPNACETYLGLUCOSAMACYLTRANS-RXN
2.4.1.56-RXN RXN-12197
2.4.1.56-RXN RXN0-722
2.4.1.56-RXN 2.4.1.58-RXN
RXN-11484 MYRISTOYLACYLTRAN-RXN
RXN-11484 RXN0-5513
RXN-11484 MYRPALMTRAN-RXN
RXN-11484 LAUROYLACYLTRAN-RXN
RXN-11484 RXN-5741
RXN-11484 RXN0-947
RXN-11484 HOLO-ACP-SYNTH-RXN
RXN-11484 PALMITOTRANS-RXN
RXN-11484 RXN0-1138
RXN-11484 RXN0-1137
RXN-11484 UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
RXN-11484 ACYLGPEACYLTRANS-RXN
